,Symbol,Security
332,NDAQ,"Nasdaq, Inc."
333,NTAP,NetApp
334,NFLX,Netflix
335,NEM,Newmont
336,NWSA,News Corp (Class A)
337,NWS,News Corp (Class B)
338,NEE,NextEra Energy
339,NKE,"Nike, Inc."
340,NI,NiSource
341,NDSN,Nordson Corporation
342,NSC,Norfolk Southern Railway
343,NTRS,Northern Trust
344,NOC,Northrop Grumman
345,NCLH,Norwegian Cruise Line Holdings
346,NRG,NRG Energy
347,NUE,Nucor
348,NVDA,Nvidia
349,NVR,"NVR, Inc."
350,NXPI,NXP Semiconductors
351,ORLY,O'Reilly Auto Parts
352,OXY,Occidental Petroleum
353,ODFL,Old Dominion
354,OMC,Omnicom Group
355,ON,ON Semiconductor
356,OKE,ONEOK
357,ORCL,Oracle Corporation
358,OTIS,Otis Worldwide
359,PCAR,Paccar
360,PKG,Packaging Corporation of America
361,PLTR,Palantir Technologies
362,PANW,Palo Alto Networks
363,PARA,Paramount Global
364,PH,Parker Hannifin
365,PAYX,Paychex
366,PAYC,Paycom
367,PYPL,PayPal
368,PNR,Pentair
369,PEP,PepsiCo
370,PFE,Pfizer
371,PCG,PG&E Corporation
372,PM,Philip Morris International
373,PSX,Phillips 66
374,PNW,Pinnacle West
375,PNC,PNC Financial Services
376,POOL,Pool Corporation
377,PPG,PPG Industries
378,PPL,PPL Corporation
379,PFG,Principal Financial Group
380,PG,Procter & Gamble
381,PGR,Progressive Corporation
382,PLD,Prologis
383,PRU,Prudential Financial
384,PEG,Public Service Enterprise Group
385,PTC,PTC Inc.
386,PSA,Public Storage
387,PHM,PulteGroup
388,PWR,Quanta Services
389,QCOM,Qualcomm
390,DGX,Quest Diagnostics
391,RL,Ralph Lauren Corporation
392,RJF,Raymond James Financial
393,RTX,RTX Corporation
394,O,Realty Income
395,REG,Regency Centers
396,REGN,Regeneron Pharmaceuticals
397,RF,Regions Financial Corporation
398,RSG,Republic Services
399,RMD,ResMed
400,RVTY,Revvity
401,ROK,Rockwell Automation
402,ROL,"Rollins, Inc."
403,ROP,Roper Technologies
404,ROST,Ross Stores
405,RCL,Royal Caribbean Group
406,SPGI,S&P Global
407,CRM,Salesforce
408,SBAC,SBA Communications
409,SLB,Schlumberger
410,STX,Seagate Technology
411,SRE,Sempra
412,NOW,ServiceNow
413,SHW,Sherwin-Williams
414,SPG,Simon Property Group
415,SWKS,Skyworks Solutions
416,SJM,J.M. Smucker Company (The)
417,SW,Smurfit WestRock
418,SNA,Snap-on
419,SOLV,Solventum
420,SO,Southern Company
421,LUV,Southwest Airlines
422,SWK,Stanley Black & Decker
423,SBUX,Starbucks
424,STT,State Street Corporation
425,STLD,Steel Dynamics
426,STE,Steris
427,SYK,Stryker Corporation
428,SMCI,Supermicro
429,SYF,Synchrony Financial
430,SNPS,Synopsys
431,SYY,Sysco
432,TMUS,T-Mobile US
433,TROW,T. Rowe Price
434,TTWO,Take-Two Interactive
435,TPR,"Tapestry, Inc."
436,TRGP,Targa Resources
437,TGT,Target Corporation
438,TEL,TE Connectivity
439,TDY,Teledyne Technologies
440,TFX,Teleflex
441,TER,Teradyne
442,TSLA,"Tesla, Inc."
443,TXN,Texas Instruments
444,TPL,Texas Pacific Land Corporation
445,TXT,Textron
446,TMO,Thermo Fisher Scientific
447,TJX,TJX Companies
448,TSCO,Tractor Supply
449,TT,Trane Technologies
450,TDG,TransDigm Group
451,TRV,Travelers Companies (The)
452,TRMB,Trimble Inc.
453,TFC,Truist Financial
454,TYL,Tyler Technologies
455,TSN,Tyson Foods
456,USB,U.S. Bancorp
457,UBER,Uber
458,UDR,"UDR, Inc."
459,ULTA,Ulta Beauty
460,UNP,Union Pacific Corporation
461,UAL,United Airlines Holdings
462,UPS,United Parcel Service
463,URI,United Rentals
464,UNH,UnitedHealth Group
465,UHS,Universal Health Services
466,VLO,Valero Energy
467,VTR,Ventas
468,VLTO,Veralto
469,VRSN,Verisign
470,VRSK,Verisk Analytics
471,VZ,Verizon
472,VRTX,Vertex Pharmaceuticals
473,VTRS,Viatris
474,VICI,Vici Properties
475,V,Visa Inc.
476,VST,Vistra Corp.
477,VMC,Vulcan Materials Company
478,WRB,W. R. Berkley Corporation
479,GWW,W. W. Grainger
480,WAB,Wabtec
481,WBA,Walgreens Boots Alliance
482,WMT,Walmart
483,DIS,Walt Disney Company (The)
484,WBD,Warner Bros. Discovery
485,WM,Waste Management
486,WAT,Waters Corporation
487,WEC,WEC Energy Group
488,WFC,Wells Fargo
489,WELL,Welltower
490,WST,West Pharmaceutical Services
491,WDC,Western Digital
492,WY,Weyerhaeuser
493,WMB,Williams Companies
494,WTW,Willis Towers Watson
495,WDAY,"Workday, Inc."
496,WYNN,Wynn Resorts
497,XEL,Xcel Energy
498,XYL,Xylem Inc.
499,YUM,Yum! Brands
500,ZBRA,Zebra Technologies
501,ZBH,Zimmer Biomet
502,ZTS,Zoetis
